timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1997314370,5.27549,0.0,0,0,1,0,0,0,0
1997815384,5.2626,0.0,0,0,1,0,0,0,0
1998324104,5.20781,0.0,0,0,1,0,0,0,0
1998824031,5.28032,0.0,0,0,1,0,0,0,0
1999324030,5.27549,0.0,0,0,1,0,0,0,0
1999824029,5.20298,0.0,0,0,1,0,0,0,0
2000324038,5.27388,0.0,0,0,1,0,0,0,0
2000824193,5.2626,0.0,0,0,1,0,0,0,0
2001324024,5.21748,0.0,0,0,1,0,0,0,0
2001824029,5.27227,0.0,0,0,1,0,0,0,0
2002325804,5.27549,0.0,0,0,1,0,0,0,0
2002824032,5.2771,0.0,0,0,1,0,0,0,0
2003324092,5.2771,0.0,0,0,1,0,0,0,0
2003834033,5.19653,0.0,0,0,1,0,0,0,0
2006835459,5.27871,0.0,0,0,1,0,0,0,0
2007334580,5.27388,0.0,0,0,1,0,0,0,0
2007844051,5.2771,0.0,0,0,1,0,0,0,0
2008344107,5.20137,0.0,0,0,1,0,0,0,0
2008844092,5.27549,0.0,0,0,1,0,0,0,0
2009344074,5.21587,0.0,0,0,1,0,0,0,0
2009854875,5.2771,0.0,0,0,1,0,0,0,0
2010354029,5.27871,0.0,0,0,1,0,0,0,0
2010854040,5.20942,0.0,0,0,1,0,0,0,0
2011357168,5.23359,0.0,0,0,1,0,0,0,0
2011864036,5.2771,0.0,0,0,1,0,0,0,0
2012364081,5.26743,0.0,0,0,1,0,0,0,0
2012864029,5.26421,0.0,0,0,1,0,0,0,0
2013364031,5.26743,0.0,0,0,1,0,0,0,0
2013864029,5.21748,0.0,0,0,1,0,0,0,0
2014364180,5.27388,0.0,0,0,1,0,0,0,0
2014874029,5.20781,0.0,0,0,1,0,0,0,0
2015374906,5.27549,0.0,0,0,1,0,0,0,0
2015874029,5.2771,0.0,0,0,1,0,0,0,0
2016374029,5.23037,0.0,0,0,1,0,0,0,0
2016874068,5.27549,0.0,0,0,1,0,0,0,0
2017374693,5.27388,0.0,0,0,1,0,0,0,0
2017885171,5.20942,0.0,0,0,1,0,0,0,0
2018384036,5.25776,0.0,0,0,1,0,0,0,0
2018884199,5.28193,0.0,0,0,1,0,0,0,0
