timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1980575767,-0.145481,0.470155,-0.226342
1980585352,-0.122461,0.490996,-0.256178
1980596542,-0.112533,0.469789,-0.24158
1980606150,-0.150973,0.46233,-0.257088
1980616542,-0.123597,0.452019,-0.234985
1980626162,-0.117429,0.460648,-0.250151
1980636542,-0.146457,0.457285,-0.241427
1980657344,-0.124679,0.459624,-0.214793
1980668542,-0.105569,0.447266,-0.204997
1980677343,-0.143218,0.449167,-0.201952
1980688542,-0.138347,0.436809,-0.192919
1980698142,-0.138347,0.436809,-0.192919
1980708542,-0.126179,0.420794,-0.186818
1980718143,-0.128221,0.429862,-0.18202
1980728542,-0.139857,0.434907,-0.198062
1980738149,-0.123317,0.446169,-0.173603
1980749342,-0.158396,0.42445,-0.185222
1980758959,-0.113013,0.435566,-0.166017
1980769342,-0.15333,0.422768,-0.17981
1980778942,-0.123588,0.481051,-0.135243
1980789342,-0.162137,0.424523,-0.182021
1980798943,-0.116315,0.455895,-0.137713
1980810142,-0.170017,0.39615,-0.168223
1980821342,-0.10644,0.501745,-0.0888396
1980830142,-0.154303,0.413481,-0.194973
1980841345,-0.0995941,0.467083,-0.116645
1980850152,-0.154471,0.380208,-0.15854
1980861484,-0.154471,0.380208,-0.15854
1980870943,-0.170938,0.385766,-0.151037
1980882142,-0.159947,0.452677,-0.122971
1980890972,-0.136795,0.430447,-0.155274
1980902270,-0.213883,0.460063,-0.115815
1980912542,-0.213883,0.460063,-0.115815
1980922171,-0.219798,0.46818,-0.0720774
1980931770,-0.131779,0.385766,-0.148938
1980942145,-0.178376,0.425328,-0.145484
1980951746,-0.135529,0.378673,-0.145584
1980962181,-0.175196,0.411141,-0.138203
1980974171,-0.126739,0.362585,-0.143065
1980982942,-0.153638,0.447265,-0.0408619
1980994142,-0.142234,0.377429,-0.120399
1981002951,-0.163832,0.440977,-0.0838011
1981012710,-0.134036,0.366241,-0.140132
1981023745,-0.134036,0.366241,-0.140132
