timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1966850969,32767,32767,32767,32767,32767,-47,32767
1966854942,-20,32767,32767,32767,-50,32767,32767
1966858942,32767,32767,32767,32767,32767,32767,32767
1966862942,32767,32767,32767,32767,32767,-72,32767
1966866954,-32,32767,32767,32767,-69,32767,32767
1966870942,32767,32767,32767,32767,32767,-48,32767
1966874942,3,32767,32767,32767,-48,32767,32767
1966878942,32767,32767,32767,32767,32767,32767,32767
1966882942,32767,32767,32767,32767,32767,-72,32767
1966886942,-9,32767,32767,32767,32767,32767,32767
1966890945,32767,32767,32767,32767,32767,-40,32767
1966894942,32767,32767,32767,32767,-47,32767,32767
1966898942,-20,32767,32767,32767,32767,32767,32767
1966902969,32767,32767,32767,32767,32767,-64,32767
1966906942,32767,32767,32767,32767,-66,32767,32767
1966910942,-29,32767,32767,32767,32767,-40,32767
1966914952,32767,32767,32767,32767,-45,32767,32767
1966918943,-2,32767,32767,32767,32767,32767,32767
1966922942,32767,32767,32767,32767,32767,-64,32767
1966926944,32767,32767,32767,32767,32767,32767,32767
1966930959,-12,32767,32767,32767,32767,-40,32767
1966934942,32767,32767,32767,32767,-44,32767,32767
1966938942,32767,32767,32767,32767,32767,32767,32767
1966942942,-24,32767,32767,32767,32767,-55,32767
1966946942,32767,32767,32767,32767,-61,32767,32767
1966950985,32767,32767,32767,32767,32767,32767,32767
1966954966,-29,32767,32767,32767,-41,-72,32767
1966959742,32767,32767,32767,32767,32767,32767,32767
1966963742,-9,32767,32767,32767,32767,-55,32767
1966967762,32767,32767,32767,32767,32767,32767,32767
1966971742,32767,32767,32767,32767,32767,-40,32767
1966975886,-21,32767,32767,32767,-47,32767,32767
1966979742,32767,32767,32767,32767,32767,32767,32767
1966983742,32767,32767,32767,32767,32767,-48,32767
1966987742,-30,32767,32767,32767,-65,32767,32767
1966991742,32767,32767,32767,32767,32767,-40,32767
1966995742,3,32767,32767,32767,-44,32767,32767
1966999742,32767,32767,32767,32767,32767,32767,32767
1967003748,32767,32767,32767,32767,32767,-48,32767
1967007742,-9,32767,32767,32767,32767,32767,32767
1967011749,32767,32767,32767,32767,32767,32767,32767
1967015742,32767,32767,32767,32767,-41,-72,32767
1967019742,-20,32767,-53,32767,32767,32767,32767
1967023742,32767,32767,32767,32767,32767,-48,32767
1967027764,32767,32767,32767,32767,-61,32767,32767
1967031784,-29,32767,32767,32767,32767,32767,32767
1967035742,32767,32767,32767,32767,-40,-72,32767
1967039742,-1,32767,32767,32767,32767,32767,32767
1967043742,32767,32767,32767,32767,32767,-40,32767
1967047742,32767,32767,32767,32767,32767,32767,32767
1967051762,-12,32767,32767,32767,32767,32767,32767
1967055742,32767,32767,32767,32767,-37,-56,32767
1967059749,32767,32767,32767,32767,32767,32767,32767
1967063742,-25,32767,32767,32767,32767,-40,32767
1967067742,32767,32767,32767,32767,-56,32767,32767
1967071742,32767,32767,32767,32767,32767,32767,32767
1967075742,-35,32767,32767,32767,32767,-63,32767
1967079769,32767,32767,32767,32767,-75,32767,32767
1967083742,-6,32767,32767,32767,32767,-40,32767
1967087746,32767,32767,32767,32767,32767,32767,32767
1967091742,32767,32767,32767,32767,32767,32767,32767
1967095742,-17,32767,32767,32767,32767,-64,32767
1967099746,32767,32767,32767,32767,-73,32767,32767
1967103745,32767,32767,32767,32767,32767,32767,32767
1967107745,-28,32767,32767,32767,-52,-72,32767
1967111742,32767,32767,32767,32767,32767,32767,32767
1967115760,0,32767,32767,32767,32767,-40,32767
1967119742,32767,32767,32767,32767,-70,32767,32767
1967123742,32767,32767,32767,32767,32767,32767,32767
1967127742,-6,32767,32767,32767,32767,-72,32767
1967131771,32767,32767,32767,32767,32767,32767,32767
1967135762,32767,32767,32767,32767,32767,-40,32767
1967139742,-16,32767,32767,32767,-69,32767,32767
1967144542,32767,32767,32767,32767,32767,32767,32767
1967148542,4,32767,32767,32767,-56,-80,32767
1967152598,32767,32767,32767,32767,32767,32767,32767
1967156542,32767,32767,32767,32767,32767,-48,32767
1967160542,-5,32767,32767,32767,-76,32767,32767
1967164542,32767,32767,32767,32767,32767,32767,32767
1967168542,32767,32767,32767,32767,32767,-72,32767
1967172542,-14,32767,32767,32767,32767,32767,32767
1967176542,32767,32767,32767,32767,32767,-48,32767
1967180545,32767,32767,32767,32767,-72,32767,32767
1967184542,-25,32767,32767,32767,32767,32767,32767
1967188542,32767,32767,32767,32767,-52,-72,32767
1967192542,4,32767,32767,32767,32767,32767,32767
1967196542,32767,32767,32767,32767,32767,-48,32767
1967200542,32767,32767,32767,32767,-70,32767,32767
1967204564,-5,32767,32767,32767,32767,32767,32767
1967208542,32767,32767,32767,32767,32767,-56,32767
1967212542,32767,32767,32767,32767,32767,32767,32767
1967216546,-13,32767,32767,32767,32767,-40,32767
1967220542,32767,32767,-85,32767,-69,32767,32767
1967224542,32767,32767,32767,32767,32767,32767,32767
1967228557,-22,32767,32767,32767,-48,-64,32767
1967232542,32767,32767,32767,32767,32767,32767,32767
1967236573,32767,32767,32767,32767,32767,-40,32767
1967240542,-29,32767,32767,32767,-67,32767,32767
1967244542,32767,32767,32767,32767,32767,32767,32767
1967248546,-1,32767,32767,32767,32767,-64,32767
1967252555,32767,32767,32767,32767,32767,32767,32767
1967256577,32767,32767,32767,32767,32767,-40,32767
1967260542,-12,32767,32767,32767,-66,32767,32767
1967264542,32767,32767,32767,32767,32767,32767,32767
1967268542,32767,32767,32767,32767,-45,-40,32767
1967272546,-21,32767,32767,32767,32767,32767,32767
1967276547,32767,32767,32767,32767,32767,32767,32767
1967280542,32767,32767,32767,32767,-64,-72,32767
1967284542,-30,32767,32767,32767,32767,32767,32767
1967288542,32767,32767,32767,32767,32767,-40,32767
1967292542,-2,32767,32767,32767,32767,32767,32767
1967296542,32767,32767,32767,32767,32767,32767,32767
1967300560,32767,32767,32767,32767,-61,-72,32767
1967305342,-20,32767,32767,32767,32767,32767,32767
1967309342,32767,32767,32767,32767,-49,-55,32767
1967313342,32767,32767,32767,32767,32767,32767,32767
1967317345,-29,32767,32767,32767,32767,32767,32767
1967321342,32767,32767,32767,32767,-68,-72,32767
1967325362,4,32767,32767,32767,32767,32767,32767
1967329486,32767,32767,32767,32767,32767,-49,32767
1967333342,32767,32767,32767,32767,32767,32767,32767
1967337493,-6,32767,32767,32767,32767,32767,32767
1967341342,32767,32767,32767,32767,-65,-72,32767
1967345342,32767,32767,32767,32767,32767,32767,32767
1967349349,-16,32767,32767,32767,-45,-48,32767
1967353342,32767,32767,32767,32767,32767,32767,32767
1967357367,32767,32767,32767,32767,32767,32767,32767
1967361342,-28,32767,32767,32767,-64,-70,32767
1967365342,32767,32767,32767,32767,32767,32767,32767
1967369342,-1,32767,32767,32767,32767,-40,32767
1967373350,32767,32767,32767,32767,32767,32767,32767
1967377342,32767,32767,32767,32767,32767,32767,32767
1967381501,-14,32767,32767,32767,-64,-66,32767
1967385345,32767,32767,32767,32767,32767,32767,32767
1967389342,32767,32767,32767,32767,-41,-40,32767
1967393342,-21,32767,32767,32767,32767,32767,32767
1967397342,32767,32767,32767,32767,32767,32767,32767
1967401350,32767,32767,32767,32767,-61,-64,32767
1967405509,-31,32767,32767,32767,32767,32767,32767
1967409357,32767,32767,32767,32767,32767,-38,32767
1967413356,-1,32767,32767,32767,32767,32767,32767
1967417342,32767,32767,-93,32767,32767,32767,32767
1967421387,32767,32767,32767,32767,-60,32767,32767
1967425342,-12,32767,32767,32767,32767,32767,32767
1967429342,32767,32767,32767,32767,-37,32767,32767
1967433499,32767,32767,32767,32767,32767,-73,32767
1967437342,-25,32767,32767,32767,32767,32767,32767
1967441373,32767,32767,32767,32767,-57,-40,32767
1967445351,4,32767,32767,32767,32767,32767,32767
1967449342,32767,32767,32767,32767,32767,32767,32767
1967453342,32767,32767,32767,32767,32767,-72,32767
1967457342,-6,32767,32767,32767,32767,32767,32767
1967461342,32767,32767,32767,32767,-54,-40,32767
1967466142,32767,32767,32767,32767,32767,32767,32767
1967470156,-24,32767,32767,32767,-41,-40,32767
1967474144,32767,32767,32767,32767,32767,32767,32767
1967478142,32767,32767,32767,32767,32767,32767,32767
1967482142,-32,32767,32767,32767,-61,-48,32767
1967486166,32767,32767,32767,32767,32767,32767,32767
