timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1820839389,-7.052,-6.96156,6.7099,1.0
1820850409,-7.04632,-6.95584,6.71705,1.0
1820861329,-7.03847,-6.948,6.7099,1.0
1820872178,-7.03117,-6.9408,6.71848,1.0
1820883232,-7.02601,-6.93572,6.71133,1.0
1820894452,-7.02271,-6.93264,6.72562,1.0
1820905248,-7.02112,-6.93167,6.77422,1.0
1820916216,-7.02117,-6.93113,6.72705,1.0
1820927161,-7.02328,-6.93338,6.72134,1.0
1820938449,-7.02793,-6.93794,6.71848,1.0
1820949278,-7.03488,-6.94472,6.72562,1.0
1820960179,-7.04382,-6.95342,6.71848,1.0
1820971145,-7.05537,-6.96477,6.71991,1.0
1820982094,-7.07007,-6.97909,6.71848,1.0
1820992924,-7.08513,-6.99389,6.71276,1.0
1821003722,-7.09724,-7.00597,6.71991,1.0
1821014889,-7.10598,-7.01521,6.76993,1.0
1821025801,-7.11185,-7.02051,6.71562,1.0
1821036780,-7.11567,-7.02456,6.72705,1.0
1821047704,-7.1181,-7.02692,6.71562,1.0
1821058485,-7.11935,-7.02822,6.72134,1.0
1821069296,-7.11958,-7.02814,6.71562,1.0
1821080119,-7.11975,-7.0282,6.71848,1.0
1821091276,-7.12074,-7.02907,6.71276,1.0
1821102363,-7.12169,-7.03007,6.71705,1.0
1821113318,-7.12263,-7.03101,6.71276,1.0
1821124246,-7.12453,-7.03382,6.77422,1.0
1821135284,-7.12753,-7.03681,6.77565,1.0
1821146049,-7.13148,-7.03995,6.71562,1.0
1821156947,-7.13596,-7.04417,6.71562,1.0
1821168033,-7.14077,-7.04895,6.71562,1.0
1821178907,-7.14418,-7.05235,6.71848,1.0
1821189753,-7.14455,-7.0529,6.72705,1.0
1821200498,-7.14195,-7.0503,6.72705,1.0
1821211331,-7.13592,-7.04423,6.71562,1.0
1821222503,-7.12627,-7.0347,6.71562,1.0
1821233308,-7.1135,-7.02235,6.71848,1.0
1821244124,-7.09812,-7.00742,6.77279,1.0
1821254881,-7.08078,-6.99041,6.77565,1.0
1821265763,-7.062,-6.97183,6.76707,1.0
1821276757,-7.04277,-6.9524,6.71419,1.0
1821287639,-7.02449,-6.93428,6.71991,1.0
1821298623,-7.00768,-6.91763,6.71562,1.0
1821309656,-6.99232,-6.90248,6.71562,1.0
1821320757,-6.97848,-6.88874,6.7099,1.0
1821331616,-6.96617,-6.8768,6.71276,1.0
1821342534,-6.95524,-6.8661,6.71991,1.0
1821353537,-6.94543,-6.85625,6.71848,1.0
1821364475,-6.9366,-6.84749,6.71991,1.0
1821375308,-6.92873,-6.83979,6.71705,1.0
1821386418,-6.92183,-6.83296,6.71562,1.0
1821397557,-6.91507,-6.82633,6.71562,1.0
1821408443,-6.90684,-6.81818,6.71419,1.0
1821419353,-6.8965,-6.80774,6.71419,1.0
1821430101,-6.8844,-6.79574,6.7099,1.0
1821441009,-6.87077,-6.78247,6.71705,1.0
1821452057,-6.85576,-6.76788,6.71276,1.0
1821463163,-6.84034,-6.75277,6.72277,1.0
1821474344,-6.82534,-6.73751,6.71848,1.0
1821485274,-6.80999,-6.72239,6.71276,1.0
1821496128,-6.79373,-6.70644,6.71276,1.0
1821506898,-6.77764,-6.69059,6.71562,1.0
1821518343,-6.76338,-6.67658,6.71848,1.0
1821529306,-6.75162,-6.66474,6.71848,1.0
1821540133,-6.74127,-6.65453,6.71848,1.0
1821550920,-6.73058,-6.64406,6.71562,1.0
1821562049,-6.71879,-6.63243,6.71848,1.0
1821572935,-6.70605,-6.62002,6.71848,1.0
1821583967,-6.69251,-6.60662,6.71562,1.0
1821595280,-6.67852,-6.59353,6.77708,1.0
1821606103,-6.66457,-6.57956,6.7685,1.0
1821616924,-6.65081,-6.56529,6.71848,1.0
1821627667,-6.63779,-6.55239,6.71419,1.0
1821638566,-6.62704,-6.54189,6.71848,1.0
1821649320,-6.61838,-6.53331,6.71562,1.0
1821660719,-6.60989,-6.52506,6.71848,1.0
1821671621,-6.60071,-6.51593,6.71562,1.0
1821682917,-6.59095,-6.50633,6.71848,1.0
1821693745,-6.58161,-6.49698,6.71562,1.0
1821704796,-6.57375,-6.48993,6.77708,1.0
1821716023,-6.56668,-6.48299,6.77422,1.0
1821726888,-6.55931,-6.47518,6.7342,1.0
1821737673,-6.55132,-6.46794,6.77565,1.0
1821748457,-6.5439,-6.45993,6.71705,1.0
1821759300,-6.53798,-6.45398,6.71562,1.0
1821770420,-6.53334,-6.44935,6.71419,1.0
1821781289,-6.52987,-6.44597,6.71848,1.0
1821792133,-6.52648,-6.44261,6.71991,1.0
1821803214,-6.52221,-6.43846,6.71991,1.0
1821814054,-6.51717,-6.43334,6.71848,1.0
1821824937,-6.51241,-6.42861,6.71562,1.0
1821835715,-6.50985,-6.42608,6.71276,1.0
1821846585,-6.51023,-6.42655,6.71562,1.0
1821857584,-6.51315,-6.42956,6.72134,1.0
1821868497,-6.51734,-6.43363,6.71562,1.0
1821879280,-6.52183,-6.4379,6.71562,1.0
1821890028,-6.52753,-6.44355,6.71419,1.0
1821901288,-6.53515,-6.45104,6.71991,1.0
1821912164,-6.54348,-6.45925,6.71562,1.0
1821923214,-6.55068,-6.46644,6.71562,1.0
1821934440,-6.55529,-6.47174,6.77136,1.0
1821945230,-6.55601,-6.4718,6.71562,1.0
1821956070,-6.55384,-6.46971,6.71991,1.0
1821967289,-6.55237,-6.46829,6.71705,1.0
1821978392,-6.55242,-6.46834,6.71705,1.0
1821989263,-6.55213,-6.46804,6.71562,1.0
1822000168,-6.55068,-6.46656,6.71705,1.0
1822010919,-6.54913,-6.46482,6.7099,1.0
1822022108,-6.54849,-6.46419,6.71562,1.0
1822032919,-6.54862,-6.4644,6.71419,1.0
1822043681,-6.55031,-6.46605,6.71276,1.0
1822054881,-6.55344,-6.46925,6.71419,1.0
1822066356,-6.55596,-6.47182,6.72134,1.0
1822077265,-6.55775,-6.47373,6.71991,1.0
1822088042,-6.5606,-6.47647,6.71848,1.0
1822098884,-6.56625,-6.48188,6.71562,1.0
1822109824,-6.5753,-6.49085,6.71848,1.0
1822120848,-6.58632,-6.5017,6.72705,1.0
1822131660,-6.59717,-6.5125,6.71848,1.0
1822143132,-6.60704,-6.52221,6.71562,1.0
1822154025,-6.61705,-6.53209,6.71562,1.0
1822164887,-6.62806,-6.5428,6.71276,1.0
1822175637,-6.63904,-6.55371,6.71848,1.0
1822186573,-6.64812,-6.56274,6.71562,1.0
1822197566,-6.65541,-6.56997,6.71848,1.0
1822208802,-6.6628,-6.57729,6.71562,1.0
1822219664,-6.67024,-6.58463,6.71848,1.0
1822230872,-6.67594,-6.59023,6.71562,1.0
1822241725,-6.67997,-6.59436,6.72562,1.0
1822252824,-6.68321,-6.59758,6.71991,1.0
1822264031,-6.68486,-6.59925,6.71991,1.0
1822274869,-6.68454,-6.59954,6.77136,1.0
1822285674,-6.68295,-6.59778,6.76993,1.0
1822296417,-6.68118,-6.59538,6.71419,1.0
1822307368,-6.6797,-6.59423,6.71848,1.0
1822318381,-6.67737,-6.59169,6.71419,1.0
1822329598,-6.67426,-6.58868,6.72277,1.0
1822340429,-6.6711,-6.58552,6.72705,1.0
1822351438,-6.66688,-6.58132,6.72419,1.0
1822362337,-6.66173,-6.57628,6.72562,1.0
1822373634,-6.65679,-6.57135,6.71276,1.0
1822384779,-6.65167,-6.56697,6.76993,1.0
1822395666,-6.64604,-6.56143,6.77136,1.0
1822406507,-6.63928,-6.55466,6.7685,1.0
1822417242,-6.63051,-6.54536,6.71419,1.0
1822428479,-6.62136,-6.53646,6.71133,1.0
1822439682,-6.61344,-6.52859,6.71848,1.0
1822450578,-6.6057,-6.52101,6.71419,1.0
1822461666,-6.59818,-6.51346,6.71562,1.0
1822472730,-6.59174,-6.50714,6.71848,1.0
1822483617,-6.58535,-6.5008,6.71848,1.0
1822494585,-6.57818,-6.49383,6.71419,1.0
1822505316,-6.57044,-6.48609,6.71419,1.0
1822516224,-6.56239,-6.47888,6.77708,1.0
1822527144,-6.55437,-6.47073,6.77422,1.0
1822538415,-6.5457,-6.4625,6.77422,1.0
1822549278,-6.53619,-6.4526,6.72991,1.0
1822560466,-6.52826,-6.44538,6.77708,1.0
1822571338,-6.52367,-6.43983,6.71991,1.0
1822582456,-6.52207,-6.43826,6.71705,1.0
1822593323,-6.52218,-6.43837,6.71848,1.0
