timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
2001512356,0.0298881,-0.4,0.19468,0.0
2001716363,0.0328571,-0.4,0.198146,0.0
2001919240,0.0448947,-0.4,0.197116,0.0
2002123533,0.0404438,-0.4,0.191927,0.0
2002324506,0.0399398,-0.4,0.191814,0.0
2002526017,0.0415892,-0.4,0.195953,0.0
2002727438,0.0404804,-0.399945,0.19482,0.0
2002928275,0.0353009,-0.399474,0.194398,0.0
2003128912,0.0450845,-0.399953,0.193238,0.0
2003332476,0.0478532,-0.4,0.195386,0.0
2003534808,0.0512172,-0.4,0.199943,0.0
2003738870,0.0439417,-0.4,0.199683,0.0
2003940447,0.0372423,-0.399778,0.194003,0.0
2006778887,0.0142845,-0.4,0.177742,0.0
2006979667,0.0220399,-0.4,0.175385,0.0
2007181291,0.0196959,-0.4,0.178565,0.0
2007382735,0.0189547,-0.4,0.182903,0.0
2007584163,0.0159305,-0.399286,0.181548,0.0
2007787680,0.0153273,-0.393706,0.173163,0.0
2007989624,0.0102739,-0.387064,0.166446,0.0
2008190652,0.00673524,-0.386796,0.174166,0.0
2008394048,0.0310833,-0.388774,0.179774,0.0
2008593201,0.0167613,-0.392088,0.178213,0.0
2008796379,0.0220361,-0.396273,0.173165,0.0
2008997211,0.0343481,-0.398357,0.168732,0.0
2009199381,0.0312264,-0.396318,0.171566,0.0
2009399618,0.0398624,-0.396477,0.17141,0.0
2009598720,0.0421773,-0.398529,0.166929,0.0
2009801105,0.0231038,-0.397814,0.165524,0.0
2010002720,0.0207842,-0.394475,0.163124,0.0
2010204474,0.0139144,-0.389822,0.156646,0.0
2010406069,-0.00232685,-0.381842,0.147387,0.0
2010607487,-0.00795326,-0.376735,0.135999,0.0
2010808101,0.00119224,-0.373977,0.134278,0.0
2011009645,0.0031626,-0.370855,0.143331,0.0
2011209315,0.0122479,-0.373846,0.152947,0.0
2011410689,0.0186133,-0.373296,0.155702,0.0
2011611555,0.00952266,-0.373633,0.152992,0.0
2011812474,0.0180596,-0.375911,0.154835,0.0
2012017130,0.0171621,-0.374125,0.161921,0.0
2012218076,0.0205971,-0.376765,0.167527,0.0
2012424972,0.0185712,-0.375273,0.169804,0.0
2012626054,0.0216871,-0.375261,0.16703,0.0
2012829193,0.0191654,-0.375685,0.165703,0.0
2013030734,0.0165803,-0.37779,0.175104,0.0
2013236170,0.026089,-0.374143,0.179596,0.0
2013436303,0.013766,-0.372227,0.168663,0.0
2013642536,0.0145701,-0.36679,0.160977,0.0
2013843633,0.00890437,-0.364598,0.159625,0.0
2014044426,-0.00428037,-0.364644,0.159868,0.0
2014245840,0.00156079,-0.364289,0.155948,0.0
2014449049,0.0122584,-0.361996,0.158394,0.0
2014650080,0.00884754,-0.367471,0.170134,0.0
2014855628,0.0189989,-0.367905,0.171364,0.0
2015057974,0.0144053,-0.369719,0.16725,0.0
2015262831,0.0277898,-0.374052,0.1673,0.0
2015463606,0.0241699,-0.376563,0.171274,0.0
2015665611,0.0150112,-0.376694,0.170037,0.0
2015864872,-0.0379057,-0.36218,0.164985,0.0
2016072109,-0.0511457,-0.323078,0.163125,0.0
2016271673,-0.00351614,-0.331884,0.151221,0.0
2016475598,0.0104533,-0.329491,0.137683,0.0
2016677300,-0.00706801,-0.335294,0.147426,0.0
2016879393,0.00428034,-0.344132,0.178897,0.0
2017078818,0.0170726,-0.346719,0.192442,0.0
2017285289,0.0186925,-0.347915,0.182652,0.0
2017486053,0.00900862,-0.34306,0.167771,0.0
2017686669,0.0157475,-0.333365,0.162103,0.0
2017887701,0.000137775,-0.326579,0.160974,0.0
2018093806,0.0428782,-0.309755,0.154149,0.0
2018296338,0.055784,-0.295271,0.149242,0.0
2018498816,0.0125526,-0.285288,0.145725,0.0
2018698785,0.0169699,-0.292418,0.142601,0.0
2018904450,0.0548549,-0.304549,0.149701,0.0
2019105268,0.0301335,-0.311413,0.159187,0.0
2019306889,0.00942136,-0.310903,0.159714,0.0
2019508469,0.0173934,-0.314646,0.16225,0.0
2019709863,0.0314633,-0.315616,0.162637,0.0
2019910380,0.0426723,-0.316939,0.14737,0.0
2020110905,0.0238722,-0.321954,0.136866,0.0
2020316338,0.0180734,-0.321258,0.132245,0.0
2020517111,0.00190527,-0.322724,0.134361,0.0
2020718621,0.0176701,-0.325073,0.148044,0.0
2020919398,0.00749358,-0.326603,0.14966,0.0
2021121026,0.00129888,-0.329376,0.140327,0.0
2021321310,0.00530083,-0.332354,0.140188,0.0
2021527353,0.0108887,-0.333854,0.139591,0.0
2021729972,-0.00126239,-0.329844,0.134372,0.0
2021932920,0.00224891,-0.327224,0.124,0.0
2022133915,-0.00355407,-0.318685,0.113648,0.0
2022338060,-0.00404313,-0.314583,0.110337,0.0
2022538850,-0.00488765,-0.31254,0.110452,0.0
2022745626,-0.000925571,-0.31539,0.111065,0.0
2022945131,0.00414682,-0.320469,0.109121,0.0
2023145985,-0.0149932,-0.324628,0.107924,0.0
2023346830,-0.00721461,-0.326306,0.109347,0.0
2023547565,-0.0013247,-0.331064,0.111035,0.0
2023753617,0.00527621,-0.3362,0.113021,0.0
2023954908,0.00841579,-0.340988,0.116457,0.0
2024159968,0.0131426,-0.34289,0.118917,0.0
2024360388,0.0112708,-0.346531,0.120231,0.0
2024566429,0.0449704,-0.34493,0.116567,0.0
2024766753,0.0344733,-0.342408,0.116302,0.0
2024968414,0.0506877,-0.337667,0.118384,0.0
2025168498,0.0421651,-0.336392,0.118298,0.0
2025374487,0.0260578,-0.337178,0.116605,0.0
2025574827,0.0192763,-0.334608,0.113392,0.0
2025776414,0.0230749,-0.337873,0.11222,0.0
2025977058,0.0268042,-0.341374,0.113364,0.0
2026182077,0.00809608,-0.344587,0.11282,0.0
2026383392,-0.00504449,-0.340517,0.110665,0.0
2026584361,0.00852945,-0.335545,0.102405,0.0
2026785324,0.00217315,-0.336386,0.0963772,0.0
2026990021,0.00748697,-0.334414,0.0942451,0.0
2027190025,0.00872027,-0.333754,0.0908297,0.0
2027392517,-0.000879519,-0.33296,0.0889608,0.0
2027593321,0.00567565,-0.329184,0.086678,0.0
2027794090,-0.00615364,-0.328079,0.0872658,0.0
2027994822,0.0143815,-0.315361,0.0814576,0.0
2028200842,-0.0369843,-0.31948,0.0765977,0.0
2028406532,0.00120224,-0.320433,0.083446,0.0
2028607608,-0.00454757,-0.320146,0.0831245,0.0
2028807240,0.00750197,-0.319686,0.0824465,0.0
2029012726,-0.00119901,-0.324528,0.0766527,0.0
2029216353,-0.0166154,-0.324751,0.077705,0.0
2029418340,-0.0141912,-0.326797,0.0874223,0.0
2029620009,0.0169712,-0.32701,0.0868971,0.0
2029821692,0.0166082,-0.330748,0.0889705,0.0
2030021740,0.00952955,-0.331493,0.101071,0.0
2030222384,0.0209181,-0.323962,0.107296,0.0
2030423584,0.0386752,-0.313365,0.0981702,0.0
2030624524,0.028285,-0.309802,0.0884691,0.0
2030829272,0.019297,-0.306663,0.084631,0.0
2031030809,0.0201214,-0.306293,0.0807923,0.0
2031236442,0.0116311,-0.310895,0.0800179,0.0
2031437644,0.00565809,-0.307815,0.080516,0.0
2031638014,0.00492663,-0.309254,0.0817644,0.0
2031838670,0.0128008,-0.304796,0.0810909,0.0
2032043626,0.0162939,-0.299087,0.0779774,0.0
2032244899,0.0121507,-0.291886,0.075886,0.0
2032450549,0.00884061,-0.290166,0.075638,0.0
2032650866,0.0035609,-0.285991,0.0793959,0.0
2032851611,0.00100744,-0.285863,0.0821031,0.0
2033053157,0.0345889,-0.288927,0.0777718,0.0
2033253986,0.00718763,-0.286331,0.075542,0.0
2033456096,0.00761067,-0.287248,0.0709403,0.0
2033656933,-0.00375403,-0.286288,0.0622778,0.0
2033861953,0.00261372,-0.287965,0.0593998,0.0
2034061935,0.0228321,-0.287535,0.0630081,0.0
2034266025,0.0219621,-0.284723,0.0726542,0.0
2034467561,0.0155177,-0.28426,0.0791968,0.0
2034669193,0.0164782,-0.283321,0.0794528,0.0
2034870047,0.0104747,-0.28192,0.0771062,0.0
2035071450,0.00528931,-0.279131,0.0717046,0.0
2035272249,7.95151e-05,-0.276762,0.0674064,0.0
2035476799,-0.00715896,-0.274712,0.069491,0.0
2035677697,-0.00665563,-0.276248,0.075528,0.0
2035878844,-0.00769286,-0.274949,0.0802781,0.0
2036080395,-0.00433248,-0.272705,0.0825624,0.0
2036285615,-0.00464047,-0.26537,0.0794271,0.0
2036487283,0.00829454,-0.265118,0.0721009,0.0
2036688160,-0.0134934,-0.263675,0.0664769,0.0
2036893261,-0.00870179,-0.268725,0.0674295,0.0
2037094624,-0.0442325,-0.265806,0.0667938,0.0
2037295419,-0.0536026,-0.257641,0.0585077,0.0
2037496931,-0.0439092,-0.260652,0.0547038,0.0
2037700814,-0.0397277,-0.249404,0.0591739,0.0
2037901230,-0.0498917,-0.251182,0.0629548,0.0
2038106924,-0.0445997,-0.239923,0.0654999,0.0
2038307540,-0.0306219,-0.209804,0.0690815,0.0
2038513629,-0.01677,-0.180924,0.068749,0.0
2038713209,-0.0534107,-0.188366,0.0662608,0.0
2038914831,-0.0858133,-0.170214,0.0590389,0.0
2039115635,-0.0487038,-0.149045,0.0546761,0.0
2039321308,-0.066305,-0.150232,0.0532836,0.0
2039522600,-0.0416549,-0.146246,0.0568118,0.0
2039722837,-0.00953905,-0.1521,0.0522858,0.0
2039925277,-0.00372571,-0.152438,0.055288,0.0
2040129224,-0.0300182,-0.158036,0.0553804,0.0
2040330008,-0.011053,-0.141175,0.0483047,0.0
2040534058,-0.0060385,-0.13801,0.0399682,0.0
2040735630,-0.00172942,-0.13207,0.0349832,0.0
2040941880,-0.00374685,-0.134722,0.0344012,0.0
2041142474,-0.0161982,-0.135609,0.0393697,0.0
2041347716,-0.000877671,-0.139999,0.0471676,0.0
2041548861,-0.00285348,-0.13812,0.0558022,0.0
2041752337,0.00936427,-0.128947,0.0623173,0.0
2041953110,0.0254331,-0.109324,0.068148,0.0
2042155308,0.0357551,-0.0903849,0.0718596,0.0
2042356367,0.03376,-0.0840982,0.0661213,0.0
2042561760,0.024719,-0.0928201,0.0421175,0.0
2042762083,0.0115564,-0.0786438,0.0183358,0.0
2042967658,0.0184567,-0.0708807,0.00762753,0.0
2043168416,0.0119885,-0.0705248,0.0131998,0.0
2043373950,0.00536063,-0.0595315,0.0273774,0.0
2043574863,0.00489479,-0.0698015,0.0323209,0.0
2043780320,-0.00277744,-0.0715537,0.0302631,0.0
2043981142,0.0125802,-0.0739192,0.0302596,0.0
2044182517,0.0225697,-0.0752606,0.0302546,0.0
2044383344,0.0291351,-0.0763967,0.0302001,0.0
2044584852,0.037211,-0.0776271,0.0301643,0.0
2044784501,0.0446589,-0.0788846,0.0301188,0.0
2044989892,0.0525545,-0.0801312,0.0300656,0.0
2045191930,0.0613556,-0.0812618,0.0300141,0.0
2045395968,0.000163908,-1.92271e-05,2.65903e-08,0.0
2045597831,0.00027379,-3.64915e-05,-6.37041e-07,0.0
2045797932,0.000272236,-2.69371e-05,3.36676e-06,0.0
2046001887,0.000171836,-1.27481e-05,2.90074e-06,0.0
2046203617,0.000118676,-1.51278e-05,-4.16029e-06,0.0
2046405771,0.000180406,-3.25248e-05,-5.22627e-06,0.0
2046607387,0.000311678,-3.09771e-05,4.93049e-06,0.0
2046811526,0.000290501,-2.0922e-05,4.37329e-06,0.0
2047013093,0.000238313,-1.68026e-05,-2.01847e-06,0.0
2047213221,0.000158712,-2.12609e-05,-4.90011e-06,0.0
2047414413,0.000209635,-3.57094e-05,-5.83909e-06,0.0
2047615988,0.000274204,-3.06998e-05,2.09852e-06,0.0
2047816392,0.00013904,-1.4357e-05,-3.15874e-06,0.0
2048022005,0.000194869,-2.93043e-05,-5.44774e-06,0.0
2048222699,0.000254081,-1.22761e-05,7.03626e-07,0.0
2048424314,0.000281779,-9.13476e-06,6.65349e-06,0.0
2048624725,0.000154161,-2.20136e-05,-3.64689e-06,0.0
2048829819,0.000186298,-8.18024e-06,-3.96238e-06,0.0
2049031293,0.000268019,-6.39035e-06,1.59706e-06,0.0
2049233006,0.000275424,-8.3184e-06,-3.12339e-07,0.0
2049433027,0.000216604,-1.14107e-05,-2.56621e-06,0.0
2049634046,0.000292514,-2.17556e-05,3.5055e-06,0.0
2049838850,0.000225066,-2.00862e-05,-1.34504e-06,0.0
2050039654,0.000195608,-2.15871e-05,2.26637e-06,0.0
2050245778,0.000342688,-2.60194e-05,4.52641e-06,0.0
2050446437,0.000312755,-2.55942e-05,7.12952e-06,0.0
2050646847,0.000305837,-1.57242e-05,5.26526e-06,0.0
2050848392,0.000313481,-6.62198e-06,6.66284e-06,0.0
2051053568,0.000214674,-2.67434e-05,-6.82095e-06,0.0
2051253850,0.000216935,-1.30799e-05,-4.64743e-06,0.0
2051457937,0.000146526,-1.97384e-05,-1.50107e-06,0.0
2051661316,0.000328254,-0.000203362,-4.44547e-06,0.0
2051862572,0.000302795,-0.000217587,-1.16747e-05,0.0
2052063276,0.000319556,-0.000208622,-6.59039e-06,0.0
2052263972,0.000340007,-0.000202326,-6.51025e-06,0.0
2052465916,0.000351265,-0.000243981,-1.51187e-05,0.0
