timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,yaw_acceptance,altitude_acceptance
2037979325,-0.0354529,0.0311908,0.0872035,0.0872035,0.0,33.0996,28.1474,nan,0.0
2038482057,-0.0214009,0.0430342,0.0872035,0.0872035,0.0,30.8807,29.9448,nan,0.0
2038976953,-0.0670567,0.0436332,0.0872035,0.0872035,0.0,28.5703,33.3211,nan,0.0
2039483424,-0.0673923,0.0436332,0.0872035,0.0872035,0.0,26.4898,35.0381,nan,0.0
2039987214,-0.0482525,0.0436332,0.0872035,0.0872035,0.0,24.7664,32.4402,nan,0.0
2040491708,-0.0838767,0.0436332,0.0872035,0.0872035,0.0,23.3862,32.2432,nan,0.0
2040974752,-0.0773227,0.0436332,0.0872035,0.0872035,0.0,22.3883,32.1304,nan,0.0
2041477650,-0.00501998,0.0436332,0.0872035,0.0872035,0.0,21.8007,30.3318,nan,0.0
2041983559,0.0484203,0.0436332,0.0872035,0.0872035,0.0,21.7013,31.0034,nan,0.0
2042490592,0.00821696,0.0436332,0.0872035,0.0872035,0.0,21.905,26.2446,nan,0.0
2042989711,-0.0879021,0.0436332,0.0872035,0.0872035,0.0,22.4006,19.6324,nan,0.0
2043496293,-0.0156756,0.0436332,0.0872035,0.0872035,0.0,22.9347,7.86816,nan,0.0
2043998031,-0.000680012,0.0436332,0.0872035,0.0872035,0.0,22.9908,0.320118,nan,0.0
2044480513,-0.000877837,0.0436332,0.0872035,0.0872035,0.0,22.9627,0.412068,nan,0.0
2044983575,-0.000813657,0.0436332,0.0872035,0.0872035,0.0,22.9491,0.380106,nan,0.0
2045485808,-0.000751144,0.0436332,0.0872035,0.0872035,0.0,22.9516,0.350988,nan,0.0
2045991472,-0.00067771,0.0436332,0.0872035,0.0872035,0.0,22.9693,0.329117,nan,0.0
2046494495,-0.000460139,0.0436332,0.0872035,0.0872035,0.0,22.9657,0.222646,nan,0.0
2046996864,-0.000200254,0.0436332,0.0872035,0.0872035,0.0,22.9609,0.0975943,nan,0.0
2047503466,-0.000167005,0.0436332,0.0872035,0.0872035,0.0,22.961,0.0821948,nan,0.0
2047990875,-0.000210982,0.0436332,0.0872035,0.0872035,0.0,22.9536,0.10456,nan,0.0
2048497249,-0.000345005,0.0436332,0.0872035,0.0872035,0.0,22.9504,0.171776,nan,0.0
2048999429,-0.000439014,0.0436332,0.0872035,0.0872035,0.0,22.9557,0.21949,nan,0.0
2049506490,-0.000373604,0.0436332,0.0872035,0.0872035,0.0,22.9761,0.188166,nan,0.0
2050005150,-0.000430423,0.0436332,0.0872035,0.0872035,0.0,22.9951,0.217661,nan,0.0
2050511618,-0.000414599,0.0436332,0.0872035,0.0872035,0.0,23.0171,0.209647,nan,0.0
2051013868,-0.000424459,0.0436332,0.0872035,0.0872035,0.0,23.0315,0.216542,nan,0.0
2051516257,-0.000381288,0.0436332,0.0872035,0.0872035,0.0,23.0556,0.193852,nan,0.0
2051998120,-0.00480526,0.0,-2.84071,-2.84071,-0.000487667,115.341,0.477465,nan,0.0
