timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1823388069,26.2594,29.54,101010.0,1.20017
1823408163,26.6769,29.54,101005.0,1.20011
1823418357,26.6769,29.54,101005.0,1.20011
1823428408,26.9279,29.54,101002.0,1.20007
1823448517,26.5104,29.54,101007.0,1.20013
1823458570,27.1763,29.54,100999.0,1.20004
1823468756,26.9279,29.54,101002.0,1.20007
1823488851,27.0917,29.54,101000.0,1.20005
1823498902,26.5104,29.54,101007.0,1.20013
1823508955,26.6769,29.54,101005.0,1.20011
1823529216,26.7588,29.54,101004.0,1.20009
1823539270,26.9279,29.54,101002.0,1.20007
1823549377,27.0098,29.54,101001.0,1.20006
1823569596,26.8433,29.54,101003.0,1.20008
1823579647,26.9279,29.54,101002.0,1.20007
1823589699,27.1763,29.54,100999.0,1.20004
1823610054,26.7588,29.54,101004.0,1.20009
1823620105,27.3427,29.54,100997.0,1.20001
1823630336,26.8433,29.54,101003.0,1.20008
1823650429,27.0917,29.55,101000.0,1.20005
1823660520,26.7588,29.55,101004.0,1.20009
1823670568,26.4258,29.55,101008.0,1.20014
1823690814,26.6769,29.54,101005.0,1.20011
1823700878,27.1763,29.54,100999.0,1.20004
1823710927,26.9279,29.54,101002.0,1.20007
1823731135,26.4258,29.54,101008.0,1.20014
1823741184,26.4258,29.54,101008.0,1.20014
1823751233,26.1748,29.54,101011.0,1.20018
1823771365,26.5104,29.55,101007.0,1.20013
1823781583,26.2594,29.55,101010.0,1.20017
1823791632,26.3413,29.55,101009.0,1.20015
1823811726,26.7588,29.54,101004.0,1.20009
1823821782,26.4258,29.54,101008.0,1.20014
1823832012,26.7588,29.54,101004.0,1.20009
1823852111,26.3413,29.55,101009.0,1.20015
1823862394,26.7588,29.55,101004.0,1.20009
1823872443,26.5104,29.55,101007.0,1.20013
1823892565,26.5104,29.54,101007.0,1.20013
1823902628,26.5104,29.54,101007.0,1.20013
1823912900,26.2594,29.54,101010.0,1.20017
1823933238,26.5923,29.54,101006.0,1.20012
1823943332,26.1748,29.54,101011.0,1.20018
1823953557,26.5104,29.54,101007.0,1.20013
1823973655,26.5104,29.54,101007.0,1.20013
1823983720,26.3413,29.54,101009.0,1.20015
1823993770,26.2594,29.54,101010.0,1.20017
1824014091,26.5923,29.54,101006.0,1.20012
1824024140,26.4258,29.54,101008.0,1.20014
1824034363,26.7588,29.54,101004.0,1.20009
1824054449,26.6769,29.54,101005.0,1.20011
1824064500,26.6769,29.54,101005.0,1.20011
1824074575,26.5104,29.54,101007.0,1.20013
1824094775,26.9279,29.54,101002.0,1.20007
1824104834,26.7588,29.54,101004.0,1.20009
1824114885,26.5923,29.54,101006.0,1.20012
1824135207,26.5104,29.54,101007.0,1.20013
1824145259,26.5104,29.54,101007.0,1.20013
1824155327,27.3427,29.54,100997.0,1.20001
1824175557,26.2594,29.55,101010.0,1.20017
1824185608,26.4258,29.55,101008.0,1.20014
1824195656,26.2594,29.55,101010.0,1.20017
1824215914,26.1748,29.54,101011.0,1.20018
1824225994,26.6769,29.54,101005.0,1.20011
1824236052,26.7588,29.54,101004.0,1.20009
1824256176,26.5923,29.54,101006.0,1.20012
1824266348,26.7588,29.54,101004.0,1.20009
1824276408,26.0929,29.54,101012.0,1.20019
1824296514,26.2594,29.54,101010.0,1.20017
1824306592,25.6754,29.54,101017.0,1.20025
1824316774,26.4258,29.54,101008.0,1.20014
1824336872,26.5104,29.54,101007.0,1.20013
1824346932,26.6769,29.54,101005.0,1.20011
1824357099,26.5104,29.54,101007.0,1.20013
1824377338,26.9279,29.54,101002.0,1.20007
1824387388,26.2594,29.54,101010.0,1.20017
1824397562,26.4258,29.54,101008.0,1.20014
1824417652,27.0098,29.54,101001.0,1.20006
1824427700,26.5104,29.54,101007.0,1.20013
1824437754,26.9279,29.54,101002.0,1.20007
1824458070,26.4258,29.54,101008.0,1.20014
1824468114,26.0929,29.54,101012.0,1.20019
1824478392,26.5104,29.54,101007.0,1.20013
