timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
2001205342,0.0263586,0.307826,-0.00869724,-0.28833,0.114117,0.481253,0.112385,-0.0143692,-0.670141,1.27888,1.95789,0.164822,0.0,0.0,0.185501,0.265042,0.264948,0.149525,0.425494,0.42541,4.04591,0.00251687,0.00252113,0.00251722,0.0901403,1.91534,0.300243,0.0,0.0,0.601977,0.000643753,0.0130302,0.0434981,0.0,0.0,0.0,0.0,0.0,0.0
2001406942,0.0149879,0.0627159,0.237933,-0.332596,0.130249,-0.811811,0.138104,0.0111706,-0.772836,1.27888,2.69641,0.125709,0.0,0.0,0.185501,0.264967,0.265163,0.149425,0.427702,0.427615,4.04595,0.0025162,0.0025215,0.00251822,0.0901403,1.91599,0.300229,0.0,0.0,0.601977,0.000514028,0.011213,0.032473,0.0,0.0,0.0,0.0,0.0,0.0
2001607771,0.0631342,0.320841,0.355164,-0.218719,0.136482,0.260403,0.296866,0.134744,-0.84161,1.27888,0.732474,0.139068,0.0,0.0,0.185501,0.265401,0.266083,0.14938,0.428233,0.428193,4.04577,0.00251569,0.00252164,0.00251913,0.0901403,1.91597,0.30023,0.0,0.0,0.601977,0.000928178,0.0215318,0.0450473,0.0,0.0,0.0,0.0,0.0,0.0
2001812542,-0.0123358,0.193144,0.0711241,-0.18602,0.137814,-0.973951,0.262946,0.24741,-1.08,1.27888,-1.34249,0.148946,0.0,0.0,0.185501,0.265137,0.266311,0.149225,0.427151,0.427214,4.04571,0.0025161,0.00252186,0.00251924,0.0901403,1.91514,0.30024,0.0,0.0,0.601977,0.000736482,0.00956311,0.0240847,0.0,0.0,0.0,0.0,0.0,0.0
2002013488,0.131225,0.233105,0.0560119,-0.140274,0.150051,-0.293112,0.225621,0.335902,-1.17638,1.27888,-1.96945,0.183118,0.0,0.0,0.185501,0.264614,0.266248,0.149135,0.427134,0.427342,4.04584,0.00251663,0.00252142,0.00251996,0.0901403,1.91494,0.300281,0.0,0.0,0.601977,0.000717832,0.00570278,0.016585,0.0,0.0,0.0,0.0,0.0,0.0
2002218942,0.197656,0.219801,0.178218,-0.122665,0.156124,-0.155462,0.264745,0.306474,-1.18811,1.27888,-1.36625,0.129444,0.0,0.0,0.185501,0.264044,0.266143,0.149035,0.426884,0.427273,4.04563,0.00251637,0.00252318,0.00251943,0.0901403,1.91457,0.300295,0.0,0.0,0.601977,0.000782902,0.00923038,0.0167726,0.0,0.0,0.0,0.0,0.0,0.0
2002419757,0.00619411,0.155606,-0.0230269,-0.0726776,0.124058,0.155548,0.248005,0.294082,-1.2183,1.27888,-0.323932,0.106268,0.0,0.0,0.185501,0.263598,0.266036,0.149027,0.424464,0.42508,4.04555,0.00251668,0.00252387,0.00251927,0.0901403,1.91511,0.300309,0.0,0.0,0.601977,0.00065565,0.00650042,0.0193763,0.0,0.0,0.0,0.0,0.0,0.0
2002620542,0.181392,0.159085,0.64152,-0.129715,0.122696,0.0868034,0.237617,0.198227,-1.22134,1.27888,1.08048,0.147872,0.0,0.0,0.185501,0.263605,0.266414,0.148995,0.422731,0.423564,4.04557,0.00251727,0.00252452,0.00251899,0.0901403,1.9145,0.300368,0.0,0.0,0.601977,0.00100338,0.0224717,0.0492052,0.0,0.0,0.0,0.0,0.0,0.0
2002821488,0.127607,0.163047,0.0389152,-0.143204,0.105354,-0.20705,0.189305,0.20682,-1.1371,1.27888,1.25363,0.16512,0.0,0.0,0.185501,0.263429,0.26649,0.149016,0.420108,0.421179,4.04559,0.00251785,0.00252509,0.00251879,0.0901403,1.91442,0.300384,0.0,0.0,0.601977,0.000754844,0.0105675,0.0285715,0.0,0.0,0.0,0.0,0.0,0.0
2003022942,0.0548491,0.156142,-0.157293,-0.156891,0.073616,-0.581322,0.150437,0.195522,-1.1111,1.27888,0.512109,0.152832,0.0,0.0,0.185501,0.263181,0.266317,0.149026,0.419923,0.421234,4.04563,0.00251834,0.00252607,0.00251836,0.0901403,1.91365,0.300386,0.0,0.0,0.601977,0.000446517,0.00661501,0.00810218,0.0,0.0,0.0,0.0,0.0,0.0
2003223742,0.153949,-0.0086959,0.25192,-0.145157,0.0461578,0.0639668,0.115519,0.215267,-1.07891,1.27888,-0.760953,0.164598,0.0,0.0,0.185501,0.263048,0.266148,0.149042,0.420939,0.422464,4.04543,0.00251897,0.00252626,0.00251865,0.0901403,1.91368,0.300415,0.0,0.0,0.601977,0.000136062,0.0124178,0.022104,0.0,0.0,0.0,0.0,0.0,0.0
