timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
1980918142,-3.86163,2.89618,0.00460808,0.0111225,5.36576,1.93898,0.0,0.0769979,0.300085
1981115742,-3.86175,2.89598,0.00463123,0.0111314,5.60749,1.93801,0.0,0.109788,0.300091
1981324542,-3.86158,2.8962,0.00465556,0.0111447,5.66942,1.9361,0.0,0.110638,0.3001
1981525511,-3.86155,2.89602,0.00467829,0.0111586,5.63523,1.93499,0.0,0.0729025,0.300102
1981726142,-3.86149,2.89572,0.0047004,0.011173,6.64805,1.93382,0.0,0.0244598,0.300101
1981927757,-3.86144,2.8952,0.00472204,0.0111889,8.03988,1.93313,0.0,0.00580303,0.300105
1982135749,-3.86141,2.89461,0.00474357,0.0112057,8.63869,1.93256,0.0,0.011234,0.300105
1982333357,-3.8614,2.89432,0.00476283,0.0112202,8.87664,1.93207,0.0,-0.134211,0.300117
1982538145,-3.86141,2.89414,0.00478287,0.011237,8.7853,1.93054,0.0,-0.150991,0.300119
1982739748,-3.8614,2.89426,0.00480069,0.011252,8.23127,1.92949,0.0,-0.180762,0.300132
1982948542,-3.86145,2.89515,0.00481852,0.0112667,6.57497,1.92873,0.0,-0.320695,0.300147
1983149373,-3.86146,2.89563,0.00483506,0.0112813,5.4449,1.92746,0.0,-0.349143,0.300146
1983354942,-3.8615,2.89605,0.00485399,0.0112986,6.01227,1.92657,0.0,-0.2565,0.300139
1983555746,-3.86144,2.89632,0.00487386,0.0113171,8.52457,1.92763,0.0,-0.179832,0.300139
1983756542,-3.86147,2.89668,0.00489629,0.0113376,6.13299,1.92729,0.0,-0.154381,0.300139
1983957342,-3.88097,2.87833,0.00489989,0.011342,4.23485,1.92741,0.0,-0.199615,0.300139
1984166967,-3.88099,2.87877,0.0049275,0.0113685,4.94008,1.92974,0.0,-0.219845,0.300152
1984363745,-3.88108,2.87958,0.00495604,0.0113954,7.07923,1.93041,0.0,-0.217491,0.300151
1984572568,-3.88113,2.87989,0.00498596,0.0114244,7.4489,1.92851,0.0,-0.198423,0.300149
1984773342,-3.88127,2.88011,0.0050175,0.011455,6.27444,1.92722,0.0,-0.195883,0.300158
1984974942,-3.89952,2.8553,0.00503066,0.0114481,3.98625,1.92655,0.0,-0.128973,0.300152
1985175776,-3.98266,2.7405,0.0049758,0.0113102,3.47875,1.92473,0.0,-0.0769241,0.300149
1985381342,-4.03631,2.66728,0.00494039,0.0112099,2.38313,1.92482,0.0,-0.0558382,0.300155
1985581487,-4.07092,2.62113,0.00490727,0.0111189,1.65948,1.92441,0.0,-0.0551224,0.300153
1985782942,-4.10203,2.5808,0.00487953,0.0110434,1.96164,1.92468,0.0,-0.0612352,0.300152
1985983743,-4.14208,2.52896,0.00485592,0.0109755,2.48128,1.92483,0.0,-0.0389956,0.300162
1986180542,-4.17015,2.49298,0.00483496,0.010916,1.11906,1.92413,0.0,0.0714549,0.300161
1986382173,-4.18436,2.47613,0.00481365,0.0108701,0.757509,1.92377,0.0,0.0548809,0.300162
1986586945,-4.19322,2.46624,0.00478921,0.010831,0.415775,1.92293,0.0,0.0511105,0.300169
1986788546,-4.20045,2.45881,0.00476888,0.0108059,0.405392,1.92204,0.0,-0.0284855,0.300186
1986989342,-4.2087,2.45085,0.0047516,0.01079,0.561918,1.92068,0.0,-0.0662969,0.300188
1987194961,-4.2263,2.43458,0.00473354,0.0107772,1.5795,1.91988,0.0,-0.070329,0.300186
1987394946,-4.25572,2.4072,0.00472149,0.0107697,1.9277,1.91984,0.0,-0.00204877,0.300199
1987595742,-4.28172,2.38404,0.00471285,0.0107688,1.99792,1.91843,0.0,0.0700315,0.300192
1987797342,-4.3137,2.35674,0.0047206,0.0107837,4.55722,1.91919,0.0,0.0596331,0.30019
1987998145,-4.33906,2.33258,0.00474125,0.0108056,3.66279,1.91843,0.0,0.114591,0.300183
1988203742,-4.38198,2.29019,0.0047493,0.010813,4.731,1.91969,0.0,0.0156777,0.300164
1988404573,-4.38251,2.28961,0.00479195,0.0108547,5.15698,1.92018,0.0,0.0172547,0.300153
1988601342,-4.41093,2.25619,0.00481066,0.0108628,2.92344,1.92115,0.0,0.00883566,0.300147
1988810142,-4.42269,2.24158,0.00481119,0.0108395,-0.873001,1.92239,0.0,0.036973,0.300143
1989011742,-4.40829,2.25816,0.00481054,0.0108243,-0.479221,1.92274,0.0,0.0127009,0.300139
1989212542,-4.40666,2.25978,0.00480185,0.0108113,0.174011,1.92276,0.0,0.0492052,0.30014
1989417342,-4.40983,2.25645,0.00479418,0.010806,0.238966,1.92233,0.0,0.0741282,0.300161
1989618942,-4.41175,2.25461,0.00477873,0.0107993,0.125465,1.92051,0.0,0.048394,0.300165
1989815766,-4.42063,2.24723,0.00476191,0.0107948,1.59241,1.92079,0.0,-0.0217403,0.300168
1990024542,-4.47207,2.20376,0.00473922,0.0107846,3.6967,1.92075,0.0,0.0222643,0.300179
